Baseline 100%T,,Baseline 0%T,,Fresh18MohmDI-RO,,Fresh18MohmDI-RO1,,Fresh18MohmDI-RO2,,SouthTank,,SouthTank1,,SouthTank2,,NorthTank,,NorthTank1,,NorthTank2,,Target_20260713_1,,Target_20260713_2,,Target_20260713_3,,Target_2024-09-27_1,,Target_2024-09-27_2,,Target_2024-09-27_3,,Fresh18MohmDI-RO-after,,Fresh18MohmDI-RO-after1,,Fresh18MohmDI-RO-after2,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
580.9827271,79.99691772,580.9827271,0.0004874981241,580.9827271,-0.000130652712,580.9827271,-0.0001814744901,580.9827271,-0.0001537871867,580.9827271,0.0004680892744,580.9827271,-0.0001203013162,580.9827271,-6.429598579E-005,580.9827271,0.0001997302752,580.9827271,9.641004726E-005,580.9827271,0.000115673909,580.9827271,-0.0001102602255,580.9827271,-0.0003072612744,580.9827271,-0.0002846005955,580.9827271,-0.0002618870349,580.9827271,-0.0001424012444,580.9827271,-0.0003261442471,580.9827271,-0.0002530910133,580.9827271,-0.0001969475561,580.9827271,-0.0002636979334,
580.0115356,80.03579712,580.0115356,-0.006676076911,580.0115356,-5.156178668E-005,580.0115356,-8.489767788E-005,580.0115356,-4.814523345E-005,580.0115356,0.0005107197212,580.0115356,3.207389818E-005,580.0115356,2.741410572E-005,580.0115356,0.0001285946346,580.0115356,5.824381788E-006,580.0115356,2.254726314E-005,580.0115356,-7.563221152E-005,580.0115356,-0.0002982592268,580.0115356,-0.000162999233,580.0115356,-0.0002215273853,580.0115356,-0.0002009839227,580.0115356,1.527298991E-005,580.0115356,-0.0002090047783,580.0115356,-1.874103691E-005,580.0115356,2.728466825E-005,
579.0028687,80.06654358,579.0028687,-0.02156376839,579.0028687,-6.921356544E-005,579.0028687,-0.0001175063953,579.0028687,-0.0001482495136,579.0028687,0.0006110537797,579.0028687,0.0001058347334,579.0028687,-9.923546168E-005,579.0028687,0.0002470482723,579.0028687,6.710161688E-005,579.0028687,0.0002904082066,579.0028687,-0.0002321868233,579.0028687,-5.46159572E-005,579.0028687,-0.000336387282,579.0028687,-0.0001362941257,579.0028687,-0.0003049849183,579.0028687,-0.0001784729538,579.0028687,-0.00027414941,579.0028687,-0.0001803877385,579.0028687,-0.000130497443,
577.9938965,80.12029266,577.9938965,-0.004079651088,577.9938965,5.006634819E-005,577.9938965,-3.742949775E-005,577.9938965,4.688201807E-005,577.9938965,0.0008081866545,577.9938965,1.863829675E-005,577.9938965,0.0001533237664,577.9938965,0.0003809755435,577.9938965,0.0001845543884,577.9938965,0.0004171196488,577.9938965,2.368630703E-005,577.9938965,-2.536817419E-006,577.9938965,-8.29307246E-005,577.9938965,-7.309581997E-005,577.9938965,-0.0001443161746,577.9938965,2.588596892E-008,577.9938965,9.241389307E-006,577.9938965,-2.707587919E-005,577.9938965,6.409838534E-005,
576.9847412,80.13085938,576.9847412,-0.0003723881673,576.9847412,-8.588115452E-005,576.9847412,-4.04320017E-005,576.9847412,-2.215782297E-005,576.9847412,0.0006195823662,576.9847412,5.094657536E-005,576.9847412,-6.367481546E-005,576.9847412,0.0001881281933,576.9847412,0.0001217069876,576.9847412,0.0003718816733,576.9847412,-0.0001127446449,576.9847412,-0.0003193671582,576.9847412,-0.0001105707779,576.9847412,-8.23095761E-005,576.9847412,-5.306299499E-005,576.9847412,-0.000167967446,576.9847412,-0.0002674749994,576.9847412,-0.0001569958986,576.9847412,-9.820026025E-005,
576.0126343,80.20225525,576.0126343,-0.003081611358,576.0126343,0.0001148453375,576.0126343,-7.99285117E-005,576.0126343,1.281374352E-005,576.0126343,0.0007452230202,576.0126343,0.0001083980751,576.0126343,0.0002088723268,576.0126343,0.0002244375501,576.0126343,0.0003113126731,576.0126343,0.0003639279457,576.0126343,8.128270565E-006,576.0126343,-5.860187957E-005,576.0126343,-0.0001252182556,576.0126343,1.371978033E-005,576.0126343,-0.0001575651841,576.0126343,-2.381502554E-006,576.0126343,1.250310288E-005,576.0126343,6.888802454E-005,576.0126343,-5.409830555E-005,
575.0029297,80.23168182,575.0029297,-0.005644196644,575.0029297,1.615314432E-005,575.0029297,-7.869262845E-006,575.0029297,-3.566939995E-005,575.0029297,0.0006241447991,575.0029297,0.0001064043608,575.0029297,0.0002454424393,575.0029297,0.0003797837417,575.0029297,0.0001480153005,575.0029297,0.0003611299326,575.0029297,-0.0001529073779,575.0029297,-0.0002042440319,575.0029297,-9.380061965E-005,575.0029297,-6.15007084E-005,575.0029297,-0.0001768169313,575.0029297,-0.0001025998572,575.0029297,-1.651493403E-005,575.0029297,8.532853099E-005,575.0029297,-1.314987276E-005,
573.9929199,80.24134827,573.9929199,-0.02287869342,573.9929199,-5.135472384E-005,573.9929199,-6.093129559E-005,573.9929199,-0.0001100014342,573.9929199,0.0005975484382,573.9929199,2.428171683E-005,573.9929199,1.485879966E-005,573.9929199,0.0003361558192,573.9929199,0.0001600306568,573.9929199,0.0001919609931,573.9929199,-0.0001449372357,573.9929199,-0.0001766099303,573.9929199,-0.000151044238,573.9929199,-0.0001699857676,573.9929199,-0.0002363263484,573.9929199,-0.0001634650107,573.9929199,-5.20794456E-005,573.9929199,-2.567812226E-005,573.9929199,-0.0001254770468,
572.9827881,80.31252289,572.9827881,-0.007616388146,572.9827881,9.628058615E-005,572.9827881,4.496625479E-005,572.9827881,1.731805787E-005,572.9827881,0.000711618457,572.9827881,0.0001786758221,572.9827881,9.296646022E-005,572.9827881,0.0003903286706,572.9827881,0.0002691939299,572.9827881,0.0003512074763,572.9827881,6.808063063E-006,572.9827881,-5.984423478E-005,572.9827881,-7.10770546E-005,572.9827881,0.0001334885601,572.9827881,1.894894194E-005,572.9827881,-4.069083661E-005,572.9827881,2.974399649E-005,572.9827881,5.876512296E-005,572.9827881,1.415985571E-005,
572.0097046,80.34117889,572.0097046,-0.01066169143,572.0097046,-1.30981025E-005,572.0097046,6.549199497E-006,572.0097046,3.507690417E-005,572.0097046,0.0005310386769,572.0097046,-2.681703518E-005,572.0097046,7.955486944E-005,572.0097046,0.000284320995,572.0097046,0.0002337614278,572.0097046,0.0004022470966,572.0097046,6.037027561E-005,572.0097046,-0.0001755231642,572.0097046,-3.396106331E-005,572.0097046,3.90879859E-006,572.0097046,-6.626757113E-006,572.0097046,-0.0001186450681,572.0097046,-3.649768041E-005,572.0097046,-0.0001207153764,572.0097046,-0.0001308597421,
570.9990234,80.32331848,570.9990234,-0.001102827606,570.9990234,-0.0001028068946,570.9990234,-0.0002282542409,570.9990234,-0.0001295658294,570.9990234,0.0004029984702,570.9990234,-2.055297227E-005,570.9990234,5.640918971E-005,570.9990234,0.0001238302357,570.9990234,0.0001963376708,570.9990234,0.0002341499203,570.9990234,-6.70394802E-005,570.9990234,-0.0001623264543,570.9990234,-0.0002911195625,570.9990234,-0.0001555468043,570.9990234,-0.0002196645364,570.9990234,-0.0001009435437,570.9990234,-0.0001075687615,570.9990234,-0.0001295658294,570.9990234,-0.0001847347448,
569.9880371,80.3491745,569.9880371,-0.002538618632,569.9880371,-0.0001228374313,569.9880371,-0.0001451442513,569.9880371,-8.132609946E-005,569.9880371,0.0002126794134,569.9880371,-5.891246838E-005,569.9880371,-2.288259384E-005,569.9880371,0.0002096492826,569.9880371,0.0001485073008,569.9880371,0.0002792181331,569.9880371,-0.0002172842214,569.9880371,-0.0001823024941,569.9880371,-0.0001036350513,569.9880371,-0.0001492328447,569.9880371,4.996020834E-006,569.9880371,-0.0002317211329,569.9880371,-0.0001495433826,569.9880371,-9.354181384E-005,569.9880371,-0.0002274263243,
569.0142822,80.37152863,569.0142822,-0.01596017741,569.0142822,-0.0002040370309,569.0142822,-0.0001258393459,569.0142822,-0.0001298246061,569.0142822,0.000206360186,569.0142822,-5.192414756E-005,569.0142822,-0.0001850970002,569.0142822,6.956116704E-005,569.0142822,5.993015293E-005,569.0142822,0.0002531349892,569.0142822,-0.0002229245147,569.0142822,-0.000376787968,569.0142822,-0.0002457953524,569.0142822,-0.0001242866274,569.0142822,-0.000132464178,569.0142822,-0.0001601010881,569.0142822,-1.154498841E-005,569.0142822,-0.0002082803258,569.0142822,-0.0001336028217,
568.0028687,80.41742706,568.0028687,-0.001604762976,568.0028687,-0.0002019671228,568.0028687,-0.00021945755,568.0028687,-0.0001531661546,568.0028687,0.0002524097508,568.0028687,-2.308966941E-005,568.0028687,1.309849722E-005,568.0028687,0.0002092089999,568.0028687,3.331651897E-005,568.0028687,0.0002619414299,568.0028687,-5.596185656E-005,568.0028687,-0.0001096908818,568.0028687,-0.0001240278507,568.0028687,-0.0001883572259,568.0028687,-0.0001209741677,568.0028687,-6.791947089E-005,568.0028687,-0.000169934021,568.0028687,-7.040413038E-005,568.0028687,-9.618160402E-005,
